timestamp,service,pod.id,cpu.num.cores,cpu.usage,cpu.usage.cores,cpu.usage.pct,cpu.usage.pct.container.requested,mem.current,mem.limit,mem.usage.pct,mem.working.set
53,1566384920,service2,exec2,16,23875534,0.002,0.01,0.05,9908097024,19327352832,51.26,9908027392
54,1566384940,service2,exec2,16,31703917,0.003,0.02,0.07,9908097024,19327352832,51.26,9908027392
55,1566384950,service2,exec2,16,23670544,0.002,0.01,0.05,9907720192,19327352832,51.26,9907650560
56,1566384970,service2,exec2,16,19279492,0.002,0.01,0.05,9907523584,19327352832,51.26,9907453952
57,1566384980,service2,exec2,16,22852913,0.002,0.01,0.05,9907523584,19327352832,51.26,9907453952
58,1566385000,service2,exec2,16,4075477475,0.246,1.54,6.01,9907523584,19327352832,51.26,9907453952
59,1566385030,service2,exec2,16,1744623825,0.131,0.82,3.2,10151333888,19327352832,52.52,10151272448
60,1566385040,service2,exec2,16,1458132107,0.12,0.75,2.93,10157596672,19327352832,52.56,10157531136
61,1566385060,service2,exec2,16,1435740054,0.111,0.69,2.71,10160783360,19327352832,52.57,10160717824
62,1566385070,service2,exec2,16,3430600834,0.22,1.38,5.37,10160967680,19327352832,52.57,10160902144
63,1566385090,service2,exec2,16,3140434250,0.183,1.14,4.47,10233663488,19327352832,52.95,10233602048
64,1566385100,service2,exec2,16,2875080520,0.182,1.14,4.44,10233843712,19327352832,52.95,10233782272
65,1566385130,service2,exec2,16,2201564090,0.124,0.78,3.03,10307047424,19327352832,53.33,10306973696
66,1566385150,service2,exec2,16,1967861121,0.1,0.63,2.44,10306805760,19327352832,53.33,10306732032
67,1566385160,service2,exec2,16,1438365177,0.141,0.88,3.44,10307076096,19327352832,53.33,10307006464
68,1566385180,service2,exec2,16,2268026471,0.152,0.95,3.71,10307420160,19327352832,53.33,10307350528
69,1566385190,service2,exec2,16,1485370071,0.075,0.47,1.83,10307358720,19327352832,53.33,10307297280
70,1566385210,service2,exec2,16,1462911998,0.081,0.51,1.98,10308333568,19327352832,53.34,10308272128
71,1566385220,service2,exec2,16,2571177961,0.16,1,3.91,10309881856,19327352832,53.34,10309820416
72,1566385240,service2,exec2,16,2474873942,0.162,1.01,3.96,10353860608,19327352832,53.57,10352762880
73,1566385250,service2,exec2,16,1461395055,0.099,0.62,2.42,10443620352,19327352832,54.03,10443513856
74,1566385270,service2,exec2,16,1501047837,0.087,0.54,2.12,10444660736,19327352832,54.04,10444554240
75,1566385280,service2,exec2,16,798486586,0.075,0.47,1.83,10446237696,19327352832,54.05,10446176256
76,1566385300,service2,exec2,16,18042951,0.002,0.01,0.05,10446770176,19327352832,54.05,10446708736
77,1566385310,service2,exec2,16,2154001672,0.155,0.97,3.78,10447405056,19327352832,54.05,10447343616
78,1566385330,service2,exec2,16,729546493,0.049,0.31,1.2,10448834560,19327352832,54.06,10448773120
79,1566385340,service2,exec2,16,2214392320,0.118,0.74,2.88,10449686528,19327352832,54.07,10449625088
80,1566385360,service2,exec2,16,1521999176,0.086,0.54,2.1,10451275776,19327352832,54.07,10451214336
81,1566385370,service2,exec2,16,2163554534,0.111,0.69,2.71,10452836352,19327352832,54.08,10452774912
