"timestamp","service","pod.id","cpu.num.cores","cpu.usage","cpu.usage.cores","cpu.usage.pct","cpu.usage.pct.container.requested","mem.current","mem.limit","mem.usage.pct","mem.working.set"
1565963180,"service1","exec1",4,11281765073,1.107,27.68,27.03,1002496000,5242880000,16.65,872775680
1565963200,"service1","exec1",4,10654731125,1.027,25.67,25.07,1002971136,5242880000,16.66,873250816
1565963210,"service1","exec1",4,7347954255,0.377,9.43,9.2,1002606592,5242880000,16.65,872886272
1565963220,"service1","exec1",4,1273038734,0.099,2.48,2.42,432050176,5242880000,5.02,263405568
1565963240,"service1","exec1",4,7211827,0.001,0.03,0.02,296124416,5242880000,4.73,247984128
1565963260,"service1","exec1",4,9757740,0.001,0.03,0.02,295632896,5242880000,4.72,247529472
1565963270,"service1","exec1",4,635612602,0.045,1.13,1.1,295403520,5242880000,4.72,247300096
1565963290,"service1","exec1",4,7422147,0.001,0.03,0.02,295550976,5242880000,4.72,247447552
1565963300,"service1","exec1",4,10185058,0.001,0.03,0.02,295497728,5242880000,4.72,247394304
1565963320,"service1","exec1",4,637053783,0.062,1.55,1.51,295403520,5242880000,4.72,247300096
1565963330,"service1","exec1",4,13177755,0.001,0.03,0.02,295792640,5242880000,4.72,247689216
1565985940,"service1","exec2",4,736129155,0.05,1.25,1.22,2273280,5242880000,0.04,2273280
1565985970,"service1","exec2",4,672553656,0.023,0.58,0.56,12058624,5242880000,0.23,11935744
1565986010,"service1","exec2",4,696869683,0.051,1.28,1.25,13193216,5242880000,0.25,13070336
1565986060,"service1","exec2",4,672619555,0.034,0.85,0.83,14647296,5242880000,0.28,14524416
1565986100,"service1","exec2",4,677947469,0.028,0.7,0.68,15839232,5242880000,0.3,15716352
1565986130,"service1","exec2",4,670304457,0.029,0.73,0.71,16826368,5242880000,0.32,16703488
1565986150,"service1","exec2",4,7305012425,0.436,10.9,10.64,17436672,5242880000,0.33,17313792
1565986160,"service1","exec2",4,17675694565,1.045,26.13,25.51,73838592,5242880000,0.96,50446336
1565986180,"service1","exec2",4,10425769313,0.587,14.68,14.33,172752896,5242880000,1.7,89264128
1565986190,"service1","exec2",4,2175555576,0.175,4.38,4.27,287367168,5242880000,3.33,174526464
1565986220,"service1","exec2",4,1411587422,0.076,1.9,1.86,975097856,5242880000,16.43,861224960
1565986240,"service1","exec2",4,735750117,0.041,1.03,1,1030008832,5242880000,16.95,888471552
1565986250,"service1","exec2",4,6802018429,0.374,9.35,9.13,1042108416,5242880000,16.94,888188928
1565986270,"service1","exec2",4,1959197001,0.195,4.88,4.76,1053356032,5242880000,16.97,889925632
1565986280,"service1","exec2",4,8293650125,0.584,14.6,14.26,1057759232,5242880000,17.35,909455360
1565986310,"service1","exec2",4,1278597597,0.117,2.93,2.86,1066778624,5242880000,17.87,936992768
1565986330,"service1","exec2",4,7052902509,0.645,16.13,15.75,1066778624,5242880000,17.87,936992768
1565986340,"service1","exec2",4,3338510482,0.189,4.73,4.61,1053380608,5242880000,17.62,923594752
1565986360,"service1","exec2",4,7750630983,0.486,12.15,11.87,1053511680,5242880000,17.62,923725824
1565986390,"service1","exec2",4,8905390634,0.449,11.23,10.96,1066893312,5242880000,17.87,937107456
1565986400,"service1","exec2",4,8150896054,0.455,11.38,11.11,1058369536,5242880000,17.71,928583680
1565986420,"service1","exec2",4,1935367652,0.121,3.03,2.95,1063763968,5242880000,17.81,933978112
1565986430,"service1","exec2",4,8840909500,0.459,11.48,11.21,1063661568,5242880000,17.81,933875712
1565986450,"service1","exec2",4,7958078164,0.639,15.98,15.6,1064271872,5242880000,17.82,934486016
1565986460,"service1","exec2",4,1633823015,0.151,3.78,3.69,1064271872,5242880000,17.82,934486016
1565986480,"service1","exec2",4,8337791811,0.516,12.9,12.6,1103310848,5242880000,18.57,973524992
1565986490,"service1","exec2",4,6568965209,0.393,9.83,9.59,1064607744,5242880000,17.83,934821888
1565986510,"service1","exec2",4,3783415200,0.261,6.53,6.37,1064607744,5242880000,17.83,934821888
1565986520,"service1","exec2",4,8177260059,0.564,14.1,13.77,1064722432,5242880000,17.83,934936576
1565986540,"service1","exec2",4,8282419692,0.501,12.53,12.23,1064722432,5242880000,17.83,934936576
1565986550,"service1","exec2",4,1825138857,0.132,3.3,3.22,1064722432,5242880000,17.83,934936576
1565986570,"service1","exec2",4,8425798413,0.568,14.2,13.87,1065078784,5242880000,17.84,935292928
1565986580,"service1","exec2",4,5863983391,0.48,12,11.72,1068617728,5242880000,17.91,938831872
1565986600,"service1","exec2",4,3722517564,0.357,8.92,8.72,1046945792,5242880000,17.49,917159936
1565986610,"service1","exec2",4,8104059430,0.542,13.55,13.23,1068830720,5242880000,17.91,939044864
1565986630,"service1","exec2",4,8526320187,0.695,17.38,16.97,1060073472,5242880000,17.74,930287616
1565986640,"service1","exec2",4,2524892199,0.199,4.98,4.86,1060503552,5242880000,17.75,930717696
1565986660,"service1","exec2",4,6796173872,0.369,9.23,9.01,1060503552,5242880000,17.75,930717696
1565986670,"service1","exec2",4,8672077506,0.633,15.83,15.45,1060503552,5242880000,17.75,930717696
1565986700,"service1","exec2",4,7126387888,0.554,13.85,13.53,1059876864,5242880000,17.74,930091008
1565986720,"service1","exec2",4,3191900702,0.245,6.13,5.98,1102409728,5242880000,18.06,946753536
1565986730,"service1","exec2",4,954886848,0.086,2.15,2.1,1088483328,5242880000,17.79,932827136
1565986750,"service1","exec2",4,1959937024,0.161,4.03,3.93,1088483328,5242880000,17.79,932827136
1565986760,"service1","exec2",4,705809317,0.039,0.98,0.95,429752320,5242880000,5.23,274112512
1565986780,"service1","exec2",4,115265124,0.008,0.2,0.2,442851328,5242880000,5.23,274272256
1565986790,"service1","exec2",4,1265258021,0.079,1.98,1.93,456220672,5242880000,5.48,287547392
1565986810,"service1","exec2",4,9468995,0.001,0.03,0.02,319762432,5242880000,5.18,271683584
1565986820,"service1","exec2",4,9963969,0.001,0.03,0.02,319655936,5242880000,5.18,271577088
1565986840,"service1","exec2",4,624104767,0.039,0.98,0.95,319619072,5242880000,5.18,271540224
1565986850,"service1","exec2",4,6744532,0.001,0.03,0.02,320004096,5242880000,5.19,271925248
1565986870,"service1","exec2",4,368815241,0.021,0.53,0.51,319602688,5242880000,5.18,271523840
1565986880,"service1","exec2",4,272136885,0.021,0.53,0.51,345608192,5242880000,5.67,297529344
1565955640,"service1","exec3",4,760841772,0.063,1.58,1.54,2424832,5242880000,0.05,2424832
1565955700,"service1","exec3",4,678812270,0.025,0.63,0.61,12009472,5242880000,0.23,11886592
